take,tap
take,spoon
take,plate
take,cupboard
take,knife
take,pan
take,lid
take,bowl
take,drawer
take,sponge
take,glass
take,hand
take,fridge
take,cup
take,fork
take,bottle
take,onion
take,cloth
take,board:chopping
take,bag
take,spatula
take,container
take,liquid:washing
take,box
take,hob
take,dough
take,package
take,water
take,meat
take,pot
take,potato
take,oil
take,cheese
take,bread
take,food
take,tray
take,bin
take,pepper
take,salt
take,colander
take,jar
take,carrot
take,top
take,tomato
take,kettle
take,pasta
take,oven
take,sauce
take,skin
take,paper
take,maker:coffee
take,garlic
take,towel
take,egg
take,rubbish
take,rice
take,mushroom
take,chicken
take,cutlery
take,coffee
take,glove
take,can
take,leaf
take,sink
take,milk
take,jug
take,aubergine
take,salad
take,chilli
take,dishwasher
take,mixture
take,cucumber
take,clothes
take,peach
take,flour
take,courgette
take,filter
take,butter
take,scissors
take,chopstick
take,tofu
take,blender
take,olive
take,mat
take,spice
take,sausage
take,peeler:potato
take,napkin
take,cover
take,pizza
take,towel:kitchen
take,vegetable
take,stock
take,grater
take,ladle
take,yoghurt
take,cereal
take,wrap:plastic
take,broccoli
take,sugar
take,brush
take,biscuit
take,lemon
take,juicer
take,wrap
take,scale
take,rest
take,rack:drying
take,alarm
take,salmon
take,freezer
take,spreads
take,squash
take,leek
take,cap
take,fish
take,lettuce
take,curry
take,seed
take,foil
take,corn
take,soup
take,oatmeal
take,onion:spring
take,clip
take,lighter
take,ginger
take,tea
take,nut
take,vinegar
take,holder
take,pin:rolling
take,pie
take,powder
take,burger
take,book
take,shell:egg
take,tongs
take,cream
take,pork
take,oregano
take,banana
take,processor:food
take,paste
take,recipe
take,liquid
take,choi:pak
take,cooker:slow
take,plug
take,utensil
take,noodle
take,salami
take,kitchen
take,teapot
take,floor
take,tuna
take,lime
take,omelette
take,bacon
take,sandwich
take,phone
take,thermometer
take,orange
take,basket
take,parsley
take,spinner:salad
take,tablet
take,presser
take,coriander
take,opener:bottle
take,cake
take,avocado
take,lentil
take,blueberry
take,cellar:salt
take,hummus
take,chair
take,juice
take,pancake
take,bean:green
take,toaster
take,apple
take,chocolate
take,ice
take,wine
take,pea
take,yeast
take,coconut
take,fishcakes
take,spinach
take,apron
take,raisin
take,basil
take,grape
take,kale
take,wire
take,asparagus
take,paprika
take,mango
take,caper
take,drink
take,stalk
take,turmeric
take,whetstone
take,kiwi
take,thyme
take,finger:lady
take,beef
take,whisk
take,blackberry
take,slicer
take,control:remote
take,celery
take,cabbage
take,hoover
take,breadstick
take,roll
take,cocktail
take,crisp
take,ladder
take,beer
take,pan:dust
take,battery
take,powder:washing
take,backpack
take,cumin
take,cutter:pizza
take,pear
take,quorn
take,funnel
take,strawberry
take,almond
